Day,Heart_Rate_BPM,Respiratory_Rate_BPM,Movement_Distance_km
1,87.12,25.45,6.85
2,85.45,23.34,5.67
3,88.23,26.12,6.92
4,83.99,21.89,4.85
5,84.25,22.43,4.32
6,89.12,26.23,6.97
7,85.34,23.01,5.45
8,83.76,22.14,4.12
9,87.98,24.45,6.48
10,84.54,21.92,5.12
11,87.14,24.87,6.92
12,85.32,23.41,5.68
13,88.77,25.98,6.78
14,84.89,22.12,4.91
15,83.92,21.34,4.67
16,89.15,25.89,6.91
17,85.45,23.34,5.45
18,83.77,22.14,4.21
19,88.94,25.76,6.52
20,84.67,22.01,4.75
21,87.12,25.12,6.87
22,85.78,23.45,5.54
23,88.23,26.09,6.91
24,84.95,21.92,5.32
25,85.45,23.56,5.89
26,87.98,25.67,6.41
27,84.23,22.14,4.54
28,89.34,26.34,6.97
29,85.89,23.43,5.68
30,86.15,24.34,6.75
