Day,Heart_Rate_BPM,Respiratory_Rate_BPM,Movement_Distance_km
1,91.23,24.12,2.45
2,89.67,22.45,1.89
3,92.45,25.23,2.12
4,88.89,21.78,1.78
5,91.56,24.67,2.01
6,93.12,25.89,2.56
7,89.45,23.12,1.56
8,90.87,23.89,1.87
9,92.34,25.45,2.45
10,88.76,21.98,1.45
11,91.89,24.78,2.56
12,89.54,22.67,1.75
13,92.34,25.34,2.34
14,88.12,21.34,1.45
15,93.45,26.12,2.56
16,90.12,23.45,1.87
17,91.78,24.67,2.12
18,92.56,25.23,2.34
19,89.34,22.12,1.56
20,93.12,25.87,2.76
21,90.56,23.12,1.78
22,88.76,21.56,1.45
23,92.23,25.34,2.34
24,91.67,24.12,2.01
25,93.12,25.98,2.76
26,89.12,22.12,1.56
27,91.34,24.12,1.89
28,93.45,25.45,2.45
29,88.45,21.78,1.67
30,90.87,23.45,2.12
